//注：1号节点是平衡节点，接下来n为pq节点及m个pq节点；
4 1 2          //4个pq节点、1个pv节点、2个变压器
2 1 1.05       //2-1节点间变压器变比为 1.05
5 6 1.05       //5-6节点间变压器变比为 1.05
1 2 0.0 0.03     //1-2节点间的阻抗
2 3 0.06 0.025   //2-3节点间的阻抗
3 4 0.08 0.3     //3-4节点间的阻抗
4 5 0.1 0.35   //4-5节点间的阻抗
5 6 0.0 0.015  //5-6节点阻抗
2 5 0.04 0.25  // 2-5节点间阻抗
0 0     //线路阻抗输入结束标志
4   //存在对地电容的节点的个数
2 0.5      //2号节点对地电容为0.5j
3 0.5      //3号为0.5j
4 0.25     //4号0.25j
5 0.25    //5号0.25j
-2.0 -1.0  //2号节点注入功率
-1.8 -0.4   //3号注入功率
-1.6 -0.8   //4号注入功率
-3.7 -1.3   //5号注入功率
5.0 1.1     //pv 节点的有功功率和电压
1.1 0.0     //1号节点的电压，就是平衡电压，如果填1.05，不能收敛；
1.0 0.0    //2号电压
1.0 0.0      //3号
1.0 0.0      //4号
1.0 0.0      //5号
1.1 0.0      //6号节点电压，如果是1.05，迭代不收敛；
